sheet_name,sector_code_9th,sector_name,final_category_name,notes,active,esto_flow_override,category_type,measure,dashboard_note_override,dashboard_page,dashboard_level
gasworks_loss_own_use_total,10_01_02_gas_works_plants,Gas works plants (own-use),Gas works plants (own-use),Derived gas works losses & own use total from inputs minus product outputs; mapped to 10_01_02 own-use comparator,TRUE,,fuel,Losses (PJ),,Losses & own use,
lng_regas_inputs,09_06_02_liquefaction_regasification_plants,Liquefaction/regasification plants,Liquefaction/regasification plants,LNG regasification inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
lng_regas_out_feed,09_06_02_liquefaction_regasification_plants,Liquefaction/regasification plants,Liquefaction/regasification plants,LNG regasification outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
lng_regas_out_fuel,09_06_02_liquefaction_regasification_plants,Liquefaction/regasification plants,Liquefaction/regasification plants,LNG regasification outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
lng_regas_loss_own_use_total,10_01_03_liquefaction_regasification_plants,Liquefaction/regasification plants (own-use),Liquefaction/regasification plants (own-use),Derived LNG regasification losses & own use total from inputs minus product outputs; mapped to 10_01_03 own-use comparator,TRUE,,fuel,Losses (PJ),,Losses & own use,
ng_liq_inputs,09_06_gas_processing_plants,Gas processing plants,Gas processing plants,Natural gas liquefaction inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
ng_blend_inputs,09_06_03_natural_gas_blending_plants,Natural gas blending plants,Natural gas blending plants,Natural gas blending inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
ng_blend_out_feed,09_06_03_natural_gas_blending_plants,Natural gas blending plants,Natural gas blending plants,Natural gas blending outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
ng_blend_out_fuel,09_06_03_natural_gas_blending_plants,Natural gas blending plants,Natural gas blending plants,Natural gas blending outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
ng_blend_loss_own_use_total,09_06_03_natural_gas_blending_plants,Natural gas blending plants,Natural gas blending plants,Not available,FALSE,,fuel,Losses (PJ),,Losses & own use,
blast_furn_inputs,09_08_02_blast_furnaces,Blast furnaces,Blast furnaces,Blast furnace inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
